afferenet,animal,use,popCode,dontUSE,figure,cell,treatment,treatment_text,treatment_class,Cancer,Chemotherapy,note,#NAME?,autoClass,manualClass,high_firing_Hz,receptiveField,Trial#,TrigStart.R,ms.F,Dyn.pfr,stat.halfHold,stat.firstSpikeHold,Stat.HzEnd,dyn.halfRamp,Stat.pps,Stat.avg,Stat.HzSTD,Dyn.IB,Thr.T,Thr.F,Thr.L,Stat.LSpkT,Stat.LSpkF,Dyn.spkNum,Stat.spkNum,Dyn.DI,Dyn.slp,Stat.slp,cond_delay
A100401_22_152_cell 19,A100401_22_152,0,,,,cell 19,1,wt,wt_ra1,0,0,,1,ra1,,,,,63.51,0.387856,297.619048,0.099494,31.661601,31.661601,31.661601,0.099494,31.661601,0,306.372549,10.886,3.963987,0.350983,2.454,19.929795,5,2,297.519553,-2605.20875,0,
A100401_22_152_cell 19,A100401_22_152,0,,,,cell 19,1,wt,wt_ra1,0,0,,1,ra1,,,,,77.640999,0.271475,181.15942,0.099488,34.209086,34.209086,34.209086,0.099488,34.209086,0,315.656566,10.799,4.320149,0.346023,2.079,20.002638,5,2,181.059932,-21097.75857,0,
A100401_22_152_cell 20,A100401_22_152,0,,1,,cell 20,1,wt,wt_sa1,0,0,,3,sa1,,,,,83.451,0.436641,0.267516,7.338265,80.749354,4.622439,0.267516,0.197568,28.420387,16.490798,0,41.102,16.012151,0.519334,9064.398,19.925618,2,139,-7.070749,0,-7.040481,
A100401_22_152_cell 20,A100401_22_152,0,,1,,cell 20,1,wt,wt_sa1,0,0,,3,sa1,,,,,97.581999,0.556284,0.197568,2.000512,57.87037,2.224595,0.197568,0.130131,28.456584,13.981303,0,44.951,17.359533,0.533192,6442.599,19.870394,1,108,-1.802944,0,-9.194961,
A100401_22_152_cell 20,A100401_22_152,0,,1,,cell 20,1,wt,wt_sa1,0,0,,3,sa1,,,,,111.712998,0.454185,0.130131,0.084458,54.680665,2.908059,0.130131,0.084458,28.10456,12.678082,0,46.16,18.512854,0.545209,3993.552,19.435883,1,82,0.045673,0,-11.908388,
A100401_22_152_cell 21,A100401_22_152,1,,,,cell 21,1,wt,wt_ra2,0,0,,2,ra2,,,,,115.986999,0.534819,73.356808,0.070883,79.821201,79.821201,0.485399,0.070883,79.821201,0,0,25.343,9.931257,0.35383,1.503,20.247686,3,1,73.285925,5345.613873,0,
A100401_22_152_cell 21,A100401_22_152,0,,,,cell 21,1,wt,wt_ra2,0,0,,2,ra2,,,,,130.117998,0.554732,63.90593,0.088266,0.088266,63.90593,0.070883,0.088266,0,0,0,28.28,10.82233,0.383933,-6.072,17.375764,2,0,63.817664,4079.438112,0,
A100401_22_152_cell 21,A100401_22_152,0,,,,cell 21,1,wt,wt_ra2,0,0,,2,ra2,,,,,144.249,0.405123,63.710499,0.066876,0.066876,63.710499,0.358781,0.066876,0,0,0,29.486,11.82516,0.388972,-4.818,17.792112,2,0,63.643624,4036.169632,0,
A100401_22_153_cell 1,A100401_22_153,,,,,cell 1,2,pirc,pirc_sa1,1,0,,3,sa1,,,,,299.592,0.055097,289.351852,3.427099,293.42723,1.347651,248.015873,0.89521,50.426373,92.238079,372.02381,13.766,5.48675,0.547595,8905.35,19.576301,13,39,285.924753,1262.305841,-16.912107,
A100401_22_153_cell 1,A100401_22_153,,,,,cell 1,2,pirc,pirc_sa1,1,0,,3,sa1,,,,,313.722999,0.137338,277.777778,4.820299,285.388128,75.757576,234.082397,0.629653,54.916014,91.692109,336.021505,13.631,5.83666,0.531488,8437.791,19.757952,12,33,272.957479,836.502736,-21.785074,
A100401_22_153_cell 1,A100401_22_153,,,,,cell 1,2,pirc,pirc_sa1,1,0,,3,sa1,,,,,344.628,0.21531,306.372549,0.438763,306.372549,6.770664,297.619048,8.376893,60.92876,93.35864,385.802469,13.334,4.879854,0.504907,9904.998,19.435155,14,49,305.933786,1877.252441,-13.890446,
A100401_22_153_2,A100401_22_153,,,,,2,2,pirc,pirc_ra1,1,0,,1,ra1,,,,,34.714998,0.151553,61.81998,0.071317,48.449612,28.855032,69.213732,0.071317,38.557247,9.798674,0,10.592,4.298746,0.365006,72.576,20.261312,3,3,61.748663,-457.081589,0,
